ID,parent,DE,EN,JSON,JSON neu,Kommentar,goe,kiel vorher,kiel # vorher,kiel # nachher,kiel nachher,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen
305.91,305.9X,Zeitlich übergreifend,Temporally unspecific,"{""kiel"":[""ska 180.400"",""ska 180.520""],""goe"":{""fi"":"" lsg=\""7 pnn 300\""""}}","{""kiel"":[""ska 180.400"",""ska 180.520""],""goe"":{""fi"":"" lsg=\""7 pnn 300\""""}}",,"{""fi"":"" lsg=\""7 pnn 300\""""}","[""ska 180.400"",""ska 180.520""]",2,2,"[""ska 180.400"",""ska 180.520""]",ska 180.400,ska 180.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.92,305.9X,Mittelalter,Middle Ages,"{""kiel"":[""ska 310.400""],""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}","{""kiel"":[""ska 310.400""],""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}",,"{""fi"":"" lsg=\""7 pno 300\""""}","[""ska 310.400""]",1,1,"[""ska 310.400""]",ska 310.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.93,305.9X,Frühe Neuzeit,Modern history,"{""kiel"":[""ska 441.400""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}","{""kiel"":[""ska 441.400""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}",,"{""fi"":"" lsg=\""7 pnp 300\""""}","[""ska 441.400""]",1,1,"[""ska 441.400""]",ska 441.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.94,305.9X,19. Jahrhundert,19th century,"{""kiel"":[""ska 586.900"",""ska 589.600""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}","{""kiel"":[""ska 586.900"",""ska 589.600""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}",,"{""fi"":"" lsg=\""7 pnq 300\""""}","[""ska 586.900"",""ska 589.600""]",2,2,"[""ska 586.900"",""ska 589.600""]",ska 586.900,ska 589.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.95,305.9X,20. Jahrhundert,20th century,"{""kiel"":[""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}","{""kiel"":[""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}",,"{""fi"":"" lsg=\""7 pnr 300\""""}","[""ska 586.900"",""ska 589.600"",""ska 814.600""]",3,3,"[""ska 586.900"",""ska 589.600"",""ska 814.600""]",ska 586.900,ska 589.600,ska 814.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.9X,305.X,"Randgruppen, Sonstige Gruppen","Fringe groups, Miscellaneous groups","{""kiel"":[""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 qub 400\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 lei 490\"" or lsg=\""7 lew 90?-lew 92?\"" or lsg=\""7 quc 900\""""}}","{""kiel"":[""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 qub 400\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 lei 490\"" or lsg=\""7 lew 90?-lew 92?\"" or lsg=\""7 quc 900\""""}}",,"{""fi"":"" lsg=\""7 qub 400\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 lei 490\"" or lsg=\""7 lew 90?-lew 92?\"" or lsg=\""7 quc 900\""""}","[""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""]",9,9,"[""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""]",ska 180.400,ska 180.520,ska 310.400,ska 441.400,ska 586.900,ska 589.600,ska 586.900,ska 589.600,ska 814.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.X,30X,Gesellschaftliche Gruppen,Social groups,"{""kiel"":[""ska 180.800"",""ska 310.800"",""ska 180.600"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446.500"",""ska 446.600"",""ska 446.700"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 814.100"",""ska 814.200"",""ska 814.300"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 441.800"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 441.800"",""ska 592?"",""ska 592?"",""ska 818?"",""ska 819?"",""soz 518?"",""ska 819?"",""ska 180.400"",""ska 180.420"",""ska 180.440"",""ska 180.480"",""ska 180.500"",""ska 310.400"",""ska 441.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 586.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 810?"",""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 lee 130\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}","{""kiel"":[""ska 180?"",""ska 310.800"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446?"",""ska 589?"",""ska 604?"",""ska 605?"",""ska 597?"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 592?"",""ska 818?"",""soz 518?"",""ska 819?"",""ska 810?"",""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 lee 130\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}",,"{""fi"":"" lsg=\""7 lee 130\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}","[""ska 180.800"",""ska 310.800"",""ska 180.600"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446.500"",""ska 446.600"",""ska 446.700"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 814.100"",""ska 814.200"",""ska 814.300"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 441.800"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 441.800"",""ska 592?"",""ska 592?"",""ska 818?"",""ska 819?"",""soz 518?"",""ska 819?"",""ska 180.400"",""ska 180.420"",""ska 180.440"",""ska 180.480"",""ska 180.500"",""ska 310.400"",""ska 441.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 586.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 810?"",""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""]",67,26,"[""ska 180?"",""ska 310.800"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446?"",""ska 589?"",""ska 604?"",""ska 605?"",""ska 597?"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 592?"",""ska 818?"",""soz 518?"",""ska 819?"",""ska 810?"",""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 589.600"",""ska 814.600""]",ska 180?,ska 310.800,,ska 185.500,ska 185.700,ska 310.600,ska 314.700,ska 441.600,ska 446?,,,,,,,,,,,,ska 589?,,,ska 604?,ska 605?,,,,ska 597?,,,,,ska 592.700,ska 825?,soz 534?,,,ska 592?,ska 818?,,soz 518?,ska 819?,,,,,,,,,,,,,,,ska 810?,ska 180.400,ska 180.520,ska 310.400,ska 441.400,,,,ska 589.600,ska 814.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.11,306.1X,Zeitlich übergreifend,Temporally unspecific,"{""kiel"":[""ska 185.900""]}","{""kiel"":[""ska 185.900""]}",,,"[""ska 185.900""]",1,1,"[""ska 185.900""]",ska 185.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.12,306.1X,Mittelalter,Middle Ages,"{""kiel"":[""ska 305?"",""ska 308?"",""ska 314.900""]}","{""kiel"":[""ska 305?"",""ska 308?"",""ska 314.900""]}",,,"[""ska 305?"",""ska 308?"",""ska 314.900""]",3,3,"[""ska 305?"",""ska 308?"",""ska 314.900""]",ska 305?,ska 308?,ska 314.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.13,306.1X,Frühe Neuzeit,Modern history,"{""kiel"":[""ska 438?"",""ska 439?"",""ska 446.900""]}","{""kiel"":[""ska 438?"",""ska 439?"",""ska 446.900""]}",,,"[""ska 438?"",""ska 439?"",""ska 446.900""]",3,3,"[""ska 438?"",""ska 439?"",""ska 446.900""]",ska 438?,ska 439?,ska 446.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.14,306.1X,19. Jahrhundert,19th century,"{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}","{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}",,,"[""ska 574?"",""ska 575?"",""ska 597.900""]",3,3,"[""ska 574?"",""ska 575?"",""ska 597.900""]",ska 574?,ska 575?,ska 597.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.15,306.1X,20. Jahrhundert,20th century,"{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}","{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}",,,"[""ska 574?"",""ska 575?"",""ska 597.900""]",3,3,"[""ska 574?"",""ska 575?"",""ska 597.900""]",ska 574?,ska 575?,ska 597.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
