ID	parent ID	DE	DE neu	DE merge	EN	EN neu	EN merge	Abfragen	sort	kiel extract	kiel+	kiel overwrite	kiel result	goe extract	goe+	goe overwrite	goe merge	goe result
023	02X	Personalwesen		Personalwesen	Personnel management		Personnel management	{"goe":{"fi":" lsg='7 awa 5?-awa 8?'"}}	023			[]		{"fi":" lsg='7 awa 5?-awa 8?'"}	{"fi":" lsg='7 awa 5?-awa 8?'"}		{"fi":" lsg='7 awa 5?-awa 8?'"}	{"fi":" lsg='7 awa 5?-awa 8?'"}
025	02X	Bibliothekarische Tätigkeiten		Bibliothekarische Tätigkeiten	Library operations		Library operations	{"goe":{"fi":" lsg='7 awd?' or lsg='7 awf?' or lsg='7 awg?' or lsg='7 awh?' or lsg='7 awk?' not lsg='7 awd 0?' not lsg='7 awd 11?'"}}	025			[]		{"fi":" lsg='7 awd?' or lsg='7 awf?' or lsg='7 awg?' or lsg='7 awh?' or lsg='7 awk?' not lsg='7 awd 0?' not lsg='7 awd 11?'"}	{"fi":" lsg='7 awd?' or lsg='7 awf?' or lsg='7 awg?' or lsg='7 awh?' or lsg='7 awk?' not lsg='7 awd 0?' not lsg='7 awd 11?'"}		{"fi":" lsg='7 awd?' or lsg='7 awf?' or lsg='7 awg?' or lsg='7 awh?' or lsg='7 awk?' not lsg='7 awd 0?' not lsg='7 awd 11?'"}	{"fi":" lsg='7 awd?' or lsg='7 awf?' or lsg='7 awg?' or lsg='7 awh?' or lsg='7 awk?' not lsg='7 awd 0?' not lsg='7 awd 11?'"}
026	02X	Spezialbibliotheken		Spezialbibliotheken	Libraries devoted to specific subjects		Libraries devoted to specific subjects	{"goe":{"fi":" lsg='7 awp 150'"}}	026			[]		{"fi":" lsg='7 awp 150'"}	{"fi":" lsg='7 awp 150'"}		{"fi":" lsg='7 awp 150'"}	{"fi":" lsg='7 awp 150'"}
027	02X	Allgemeinbibliotheken		Allgemeinbibliotheken	General libraries		General libraries	{"goe":{"fi":" lsg='7 awp? ( lsg='7' not lsg='7 awp 150')'"},"kiel":["kom 495*"]}	027	["kom 495*"]	["kom 495*"]		["kom 495*"]	{"fi":" lsg='7 awp? ( lsg='7' not lsg='7 awp 150')'"}	{"fi":" lsg='7 awp? ( lsg='7' not lsg='7 awp 150')'"}		{"fi":" lsg='7 awp? ( lsg='7' not lsg='7 awp 150')'"}	{"fi":" lsg='7 awp? ( lsg='7' not lsg='7 awp 150')'"}
028	02X	Lesen und Nutzung anderer Informationsmedien		Lesen und Nutzung anderer Informationsmedien	Reading and use of other information media		Reading and use of other information media	{"goe":{"fi":" lsg='7 arn 0?-arn 3?' or lsg='7 arn 7?-arn 9?' or lsg='7 arm?'"}}	028			xxx		{"fi":" lsg='7 arn 0?-arn 3?' or lsg='7 arn 7?-arn 9?' or lsg='7 arm?'"}	{"fi":" lsg='7 arn 0?-arn 3?' or lsg='7 arn 7?-arn 9?' or lsg='7 arm?'"}		{"fi":" lsg='7 arn 0?-arn 3?' or lsg='7 arn 7?-arn 9?' or lsg='7 arm?'"}	{"fi":" lsg='7 arn 0?-arn 3?' or lsg='7 arn 7?-arn 9?' or lsg='7 arm?'"}
03X	vn65	Enzyklopädien		Enzyklopädien	Encyclopedic works		Encyclopedic works	{"goe":{"fi":" lsg='7 aaa?'"},"kiel":["nor 251.300","ska 015.080","ska 048.080","ska 077.080","lan 543.092","all 38*","all 39*"]}	03-	["nor 251.300","ska 015.080","ska 048.080","ska 077.080","lan 543.092","all 38*","all 39*"]	["nor 251.300","ska 015.080","ska 048.080","ska 077.080","lan 543.092","all 38*","all 39*"]		["nor 251.300","ska 015.080","ska 048.080","ska 077.080","lan 543.092","all 38*","all 39*"]	{"fi":" lsg='7 aaa?'"}	{"fi":" lsg='7 aaa?'"}		{"fi":" lsg='7 aaa?'"}	{"fi":" lsg='7 aaa?'"}
05X	vn65	Zeitschriften, allgemeine fortlaufende Sammelwerke		Zeitschriften, allgemeine fortlaufende Sammelwerke	Periodicals, General serial publications		Periodicals, General serial publications	{"goe":{"fi":" lsg='7 arl 19?-arl 22?' or lsg='7 arm 370'"},"kiel":["nor 208*","all 2*","all 300","all 33*","all 340*"]}	05-	["nor 208*","all 2*","all 300","all 33*","all 340*"]	["nor 208*","all 2*","all 300","all 33*","all 340*"]		["nor 208*","all 2*","all 300","all 33*","all 340*"]	{"fi":" lsg='7 arl 19?-arl 22?' or lsg='7 arm 370'"}	{"fi":" lsg='7 arl 19?-arl 22?' or lsg='7 arm 370'"}		{"fi":" lsg='7 arl 19?-arl 22?' or lsg='7 arm 370'"}	{"fi":" lsg='7 arl 19?-arl 22?' or lsg='7 arm 370'"}
06X	vn65	Allgemeine Organisationen, Museumswissenschaft		Allgemeine Organisationen, Museumswissenschaft	General organizations, Museology		General organizations, Museology	{"goe":{"fi":" lsg='7 ad 000' or lsg='7 ada 000' or lsg='7 adb 000' or lsg='7 adf 000' or lsg='7 adn 000'"}}	06-		[]	[]	[]	{"fi":" lsg='7 ad 000' or lsg='7 ada 000' or lsg='7 adb 000' or lsg='7 adf 000' or lsg='7 adn 000'"}	{"fi":" lsg='7 ad 000' or lsg='7 ada 000' or lsg='7 adb 000' or lsg='7 adf 000' or lsg='7 adn 000'"}		{"fi":" lsg='7 ad 000' or lsg='7 ada 000' or lsg='7 adb 000' or lsg='7 adf 000' or lsg='7 adn 000'"}	{"fi":" lsg='7 ad 000' or lsg='7 ada 000' or lsg='7 adb 000' or lsg='7 adf 000' or lsg='7 adn 000'"}
060	06X	Allgemeine Organisationen		Allgemeine Organisationen	General organizations		General organizations	{"goe":{"fi":" lsg='7 ada 000'"}}	060			[]		{"fi":" lsg='7 ada 000'"}	{"fi":" lsg='7 ada 000'"}		{"fi":" lsg='7 ada 000'"}	{"fi":" lsg='7 ada 000'"}
069	06X	Museumswissenschaft		Museumswissenschaft	Museology		Museology	{"goe":{"fi":" lsg='7 ad 000 '"}}	069			[]		{"fi":" lsg='7 ad 000 '"}	{"fi":" lsg='7 ad 000 '"}		{"fi":" lsg='7 ad 000 '"}	{"fi":" lsg='7 ad 000 '"}
07X	vn65	Publizistische Medien, Journalismus, Verlagswesen		Publizistische Medien, Journalismus, Verlagswesen	News media, Journalism, Publishing		News media, Journalism, Publishing	{"goe":{"fi":" lsg='7 bb 1?' or lsg='7 bba 1?' or lsg='7 bbb' or lsg='7 bc 1?' or lsg='7 au? '"},"kiel":["kom 740.3"]}	07-	["kom 740.3"]	["kom 740.3"]		["kom 740.3"]	{"fi":" lsg='7 bb 1?' or lsg='7 bba 1?' or lsg='7 bbb' or lsg='7 bc 1?' or lsg='7 au? '"}	{"fi":" lsg='7 bb 1?' or lsg='7 bba 1?' or lsg='7 bbb' or lsg='7 bc 1?' or lsg='7 au? '"}		{"fi":" lsg='7 bb 1?' or lsg='7 bba 1?' or lsg='7 bbb' or lsg='7 bc 1?' or lsg='7 au? '"}	{"fi":" lsg='7 bb 1?' or lsg='7 bba 1?' or lsg='7 bbb' or lsg='7 bc 1?' or lsg='7 au? '"}
08X	vn65	Allgemeine Sammelwerke, Zitatensammlungen		Allgemeine Sammelwerke, Zitatensammlungen	General collections, Collections of quotations		General collections, Collections of quotations	{"goe":{"fi":" lsg='7 arl 040'"}}	08-			[]		{"fi":" lsg='7 arl 040'"}	{"fi":" lsg='7 arl 040'"}		{"fi":" lsg='7 arl 040'"}	{"fi":" lsg='7 arl 040'"}
20X	vn4	Allgemeines		Allgemeines	Generalities		Generalities	{"goe":{"fi":" lsg='7 ca?'"},"kiel":["ska 357*","ska 476*"]}	20-	["ska 357*","ska 476*"]	["ska 357*","ska 476*"]		["ska 357*","ska 476*"]	{"fi":" lsg='7 ca?'"}	{"fi":" lsg='7 ca?'"}		{"fi":" lsg='7 ca?'"}	{"fi":" lsg='7 ca?'"}
22X	vn4	Die Bibel		Die Bibel	The Bible		The Bible	{"goe":{"fi":" lsg='7 cga?' or lsg='7 cgb?' or lsg='7 cgd?' or lsg='7 cgf?' or lsg='7 cgh?' or lsg='7 cgk?'"}}	22-			xxx		{"fi":" lsg='7 cga?' or lsg='7 cgb?' or lsg='7 cgd?' or lsg='7 cgf?' or lsg='7 cgh?' or lsg='7 cgk?'"}	{"fi":" lsg='7 cga?' or lsg='7 cgb?' or lsg='7 cgd?' or lsg='7 cgf?' or lsg='7 cgh?' or lsg='7 cgk?'"}		{"fi":" lsg='7 cga?' or lsg='7 cgb?' or lsg='7 cgd?' or lsg='7 cgf?' or lsg='7 cgh?' or lsg='7 cgk?'"}	{"fi":" lsg='7 cga?' or lsg='7 cgb?' or lsg='7 cgd?' or lsg='7 cgf?' or lsg='7 cgh?' or lsg='7 cgk?'"}
25X	vn4	Kirchenorganisation		Kirchenorganisation	Church organization		Church organization		25-		["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250","ska 347*","ska 348*","ska 349*","ska 355*","ska 481*","ska 483*","ska 487*","ska 656*","ska 658*","ska 656*","ska 865*","ska 658*"]		["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250","ska 347*","ska 348*","ska 349*","ska 355*","ska 481*","ska 483*","ska 487*","ska 656*","ska 658*","ska 656*","ska 865*","ska 658*"]		Loading...			Loading...
251	25X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"kiel":["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250"]}	251	["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250"]	["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250"]		["ska 212*","ska 213*","ska 214*","ska 220*","jus 944.5","jus 950.200","jus 957.200","jus 953.200","jus 955.250"]			{}
252	25X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"kiel":["ska 347*","ska 348*","ska 349*","ska 355*"]}	252	["ska 347*","ska 348*","ska 349*","ska 355*"]	["ska 347*","ska 348*","ska 349*","ska 355*"]		["ska 347*","ska 348*","ska 349*","ska 355*"]			{}
253	25X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"kiel":["ska 481*","ska 483*","ska 487*"]}	253	["ska 481*","ska 483*","ska 487*"]	["ska 481*","ska 483*","ska 487*"]		["ska 481*","ska 483*","ska 487*"]			{}
254	25X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"kiel":["ska 656*","ska 658*"]}	254	["ska 656*","ska 658*"]	["ska 656*","ska 658*"]		["ska 656*","ska 658*"]			{}
255	25X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"kiel":["ska 656*","ska 865*","ska 658*"]}	255	["ska 656*","ska 865*","ska 658*"]	["ska 656*","ska 865*","ska 658*"]		["ska 656*","ska 865*","ska 658*"]			{}
26X	vn4	Mission		Mission	Missions		Missions	{"goe":{"fi":" lsg='7 cza 000'"},"kiel":["ska 486*","ska 664*","ska 867.200","ska 867.600","ska 867.800","gsd 495*","gsd 503*"]}	26-	["ska 486*","ska 664*","ska 867.200","ska 867.600","ska 867.800","gsd 495*","gsd 503*"]	["ska 486*","ska 664*","ska 867.200","ska 867.600","ska 867.800","gsd 495*","gsd 503*"]		["ska 486*","ska 664*","ska 867.200","ska 867.600","ska 867.800","gsd 495*","gsd 503*"]	{"fi":" lsg='7 cza 000'"}	{"fi":" lsg='7 cza 000'"}		{"fi":" lsg='7 cza 000'"}	{"fi":" lsg='7 cza 000'"}
27X	vn4	Geschichte des Christentums in Europa		Geschichte des Christentums in Europa	History of christianity in Europe		History of christianity in Europe	{"goe":{"fi":" lsg='7 ci?' or lsg='7 qum 700'"}}	27-		["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60","ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*","ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40","ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*","ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]		["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60","ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*","ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40","ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*","ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]	{"fi":" lsg='7 ci?' or lsg='7 qum 700'"}	{"fi":" lsg='7 ci?' or lsg='7 qum 700'"}		{"fi":" lsg='7 ci?' or lsg='7 qum 700'"}	{"fi":" lsg='7 ci?' or lsg='7 qum 700'"}
271	27X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"kiel":["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60"]}	271	["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60"]	["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60"]		["ska 209.100","ska 209.200","ska 209.400","ska 209.600","ska 209.800","ska 218*","gsb 936.50","gsb 936.60"]			{}
272	27X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"kiel":["ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*"]}	272	["ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*"]	["ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*"]		["ska 340*","ska 341*","ska 342*","ska 343*","ska 344*","ska 984*","rel 491:bir 3","gsd 475*"]			{}
273	27X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"kiel":["ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40"]}	273	["ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40"]	["ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40"]		["ska 489*","ska 984*","gsd 475*","gsd 485*","gsd 970.40"]			{}
274	27X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"kiel":["ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*"]}	274	["ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*"]	["ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*"]		["ska 652*","ska 654*","ska 666*","ska 668*","gsd 485*"]			{}
275	27X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"kiel":["ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]}	275	["ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]	["ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]		["ska 652*","ska 654*","ska 666*","ska 668*","ska 864*","ska 869*","ska 867.900"]			{}
28X	vn4	Christliche Konfessionen		Christliche Konfessionen	Denominations of Christian church		Denominations of Christian church		28-		["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100","ska 479*","rel 719*","ska 221*","ska 488*","ska 662*","ska 866.600"]		["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100","ska 479*","rel 719*","ska 221*","ska 488*","ska 662*","ska 866.600"]		{"fi":"( lsg='7 civ 360') or ( lsg='7 cih 000') or ( lsg='7 cik 100') or ( lsg='7 cix 000')"}			{"fi":"( lsg='7 civ 360') or ( lsg='7 cih 000') or ( lsg='7 cik 100') or ( lsg='7 cix 000')"}
281	28X	Alte Kirche, Ostkirche		Alte Kirche, Ostkirche	Early church, Eastern church		Early church, Eastern church	{"goe":{"fi":" lsg='7 civ 360'"}}	281			[]		{"fi":" lsg='7 civ 360'"}	{"fi":" lsg='7 civ 360'"}		{"fi":" lsg='7 civ 360'"}	{"fi":" lsg='7 civ 360'"}
282	28X	Katholische Kirche		Katholische Kirche	Roman Catholic Church		Roman Catholic Church	{"goe":{"fi":" lsg='7 cih 000'"},"kiel":["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100"]}	282	["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100"]	["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100"]		["ska 220.100","ska 353*","ska 479*","ska 661*","ska 866.100"]	{"fi":" lsg='7 cih 000'"}	{"fi":" lsg='7 cih 000'"}		{"fi":" lsg='7 cih 000'"}	{"fi":" lsg='7 cih 000'"}
284	28X	Protestantische Konfession		Protestantische Konfession	Protestant denomination		Protestant denomination	{"goe":{"fi":" lsg='7 cik 100'"},"kiel":["ska 479*","rel 719*"]}	284	["ska 479*","rel 719*"]	["ska 479*","rel 719*"]		["ska 479*","rel 719*"]	{"fi":" lsg='7 cik 100'"}	{"fi":" lsg='7 cik 100'"}		{"fi":" lsg='7 cik 100'"}	{"fi":" lsg='7 cik 100'"}
289	28X	Andere christliche Konfessionen und Sekten		Andere christliche Konfessionen und Sekten	Other christian denominations and sects		Other christian denominations and sects	{"goe":{"fi":" lsg='7 cix 000'"},"kiel":["ska 221*","ska 488*","ska 662*","ska 866.600"]}	289	["ska 221*","ska 488*","ska 662*","ska 866.600"]	["ska 221*","ska 488*","ska 662*","ska 866.600"]		["ska 221*","ska 488*","ska 662*","ska 866.600"]	{"fi":" lsg='7 cix 000'"}	{"fi":" lsg='7 cix 000'"}		{"fi":" lsg='7 cix 000'"}	{"fi":" lsg='7 cix 000'"}
29X	vn4	Andere Religionen, Mythologie		Andere Religionen, Mythologie	Other religions, Mythology		Other religions, Mythology	{"goe":{"fi":" lsg='7 cb?'"}}	29-			[]		{"fi":" lsg='7 cb?'"}	{"fi":" lsg='7 cb?'"}		{"fi":" lsg='7 cb?'"}	{"fi":" lsg='7 cb?'"}
30X	vn3	Soziologie, Gesellschaft		Soziologie, Gesellschaft	Sociology, Society		Sociology, Society	{"goe":{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}}	30-		["ska 800*","soz 212*","ska 802*","ska 805*","ska 935*","ska 200*","ska 326*","ska 464*","ska 628*","ska 862*","soz 475.5","ska 932*","ska 180.800","ska 310.800","ska 441.800","ska 592.700","ska 825*","soz 534*","ska 807*","ska 830.200","ska 824*","ska 960*","ska 817*","soz 500.095"]		["ska 800*","soz 212*","ska 802*","ska 805*","ska 935*","ska 200*","ska 326*","ska 464*","ska 628*","ska 862*","soz 475.5","ska 932*","ska 180.800","ska 310.800","ska 441.800","ska 592.700","ska 825*","soz 534*","ska 807*","ska 830.200","ska 824*","ska 960*","ska 817*","soz 500.095"]	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}		{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}
300	30X	Allgemeines		Allgemeines	General works		General works	{"goe":{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"},"kiel":["ska 800*","soz 212*"]}	300	["ska 800*","soz 212*"]	["ska 800*","soz 212*"]		["ska 800*","soz 212*"]	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}		{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 le?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}
