,,,,,,DDC,Aufloesung,Aufloesung_englisch,Anzeige,Kommentar_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,JSON
330.*,330.X,33X,33X,TRUE,5,330.90,Wirtschaftsgeschichte,Economic history,,doppelt aufgeführt,NW* NOT NW 7* NOT NW 8* NOT NW 9* OR QF* OR QR 571* OR QK 24*,NW 2325 OR NW 2360 OR NW 2430 OR NW 2400,NW 2325,NW 2360,,,NW 2430,NW 2400,NW 2330,NW* NOT NW 7* NOT NW 8* NOT NW 9* OR QF* OR QR 571* OR QK 24*,,,,NW* NOT NW 7* NOT NW 8* NOT NW 9* OR QF* OR QR 571* OR QK 24*,"lklhgw=""nw?"" not lklhgw=""nw 7?"" not lklhgw=""nw 8?"" not lklhgw=""nw 9?"" or lklhgw=""qf?"" or lklhgw=""qr 571?"" or lklhgw=""qk 24?""","lklhgw=""nw 2325"" or lklhgw=""nw 2360"" or lklhgw=""nw 2430"" or lklhgw=""nw 2400""","lklhgw=""nw 2325""","lklhgw=""nw 2360""",,,"lklhgw=""nw 2430""","lklhgw=""nw 2400""","lklhgw=""nw 2330""","lklhgw=""nw?"" not lklhgw=""nw 7?"" not lklhgw=""nw 8?"" not lklhgw=""nw 9?"" or lklhgw=""qf?"" or lklhgw=""qr 571?"" or lklhgw=""qk 24?""",,,,"lklhgw=""nw?"" not lklhgw=""nw 7?"" not lklhgw=""nw 8?"" not lklhgw=""nw 9?"" or lklhgw=""qf?"" or lklhgw=""qr 571?"" or lklhgw=""qk 24?""","{""nord"":""lklhgw=\""nw?\"" not lklhgw=\""nw 7?\"" not lklhgw=\""nw 8?\"" not lklhgw=\""nw 9?\"" or lklhgw=\""qf?\"" or lklhgw=\""qr 571?\"" or lklhgw=\""qk 24?\"""",""sca"":""lklhgw=\""nw 2325\"" or lklhgw=\""nw 2360\"" or lklhgw=\""nw 2430\"" or lklhgw=\""nw 2400\"""",""dk"":""lklhgw=\""nw 2325\"""",""ic"":""lklhgw=\""nw 2360\"""",""se"":""lklhgw=\""nw 2430\"""",""no"":""lklhgw=\""nw 2400\"""",""fi"":""lklhgw=\""nw 2330\"""",""bal"":""lklhgw=\""nw?\"" not lklhgw=\""nw 7?\"" not lklhgw=\""nw 8?\"" not lklhgw=\""nw 9?\"" or lklhgw=\""qf?\"" or lklhgw=\""qr 571?\"" or lklhgw=\""qk 24?\"""",""all"":""lklhgw=\""nw?\"" not lklhgw=\""nw 7?\"" not lklhgw=\""nw 8?\"" not lklhgw=\""nw 9?\"" or lklhgw=\""qf?\"" or lklhgw=\""qr 571?\"" or lklhgw=\""qk 24?\""""}"
330.1,330.1,330.X,330.X,TRUE,0,330.90 AND t0900,Zeitlich übergreifend,Temporally unspecific,N,doppelt aufgeführt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
330.2,330.2,330.X,330.X,TRUE,0,330.90 AND t0902,Mittelalter,Middle Ages,N,doppelt aufgeführt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
330.3,330.3,330.X,330.X,TRUE,0,330.90 AND t0903,Frühe Neuzeit,Modern history,N,doppelt aufgeführt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
330.4,330.4,330.X,330.X,TRUE,0,330.90 AND t09034,19. Jahrhundert,19th century,N,doppelt aufgeführt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
330.5,330.5,330.X,330.X,TRUE,0,330.90 AND t0904,20. Jahrhundert,20th century,N,doppelt aufgeführt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
331.*,331.X,33X,33X,TRUE,5,330.91,"Allgemeines, wirtschaftliche Lage","General works, economic situation",,,QA OR QB OR QC OR QD OR QE OR QH OR QG OR MG !!020,MG 45020 OR MG 48020 OR MG 58020 OR MG 54020 OR MG 52020,MG 48020,MG 58020,,,MG 54020,MG 52020,MG 56020,QA OR QB OR QC OR QD OR QE OR QH OR QG OR MG !!020,,,,QA OR QB OR QC OR QD OR QE OR QH OR QG OR MG !!020,"lklhgw=""qa"" or lklhgw=""qb"" or lklhgw=""qc"" or lklhgw=""qd"" or lklhgw=""qe"" or lklhgw=""qh"" or lklhgw=""qg"" or lklhgw=""mg !!020""","lklhgw=""mg 45020"" or lklhgw=""mg 48020"" or lklhgw=""mg 58020"" or lklhgw=""mg 54020"" or lklhgw=""mg 52020""","lklhgw=""mg 48020""","lklhgw=""mg 58020""",,,"lklhgw=""mg 54020""","lklhgw=""mg 52020""","lklhgw=""mg 56020""","lklhgw=""qa"" or lklhgw=""qb"" or lklhgw=""qc"" or lklhgw=""qd"" or lklhgw=""qe"" or lklhgw=""qh"" or lklhgw=""qg"" or lklhgw=""mg !!020""",,,,"lklhgw=""qa"" or lklhgw=""qb"" or lklhgw=""qc"" or lklhgw=""qd"" or lklhgw=""qe"" or lklhgw=""qh"" or lklhgw=""qg"" or lklhgw=""mg !!020""","{""nord"":""lklhgw=\""qa\"" or lklhgw=\""qb\"" or lklhgw=\""qc\"" or lklhgw=\""qd\"" or lklhgw=\""qe\"" or lklhgw=\""qh\"" or lklhgw=\""qg\"" or lklhgw=\""mg !!020\"""",""sca"":""lklhgw=\""mg 45020\"" or lklhgw=\""mg 48020\"" or lklhgw=\""mg 58020\"" or lklhgw=\""mg 54020\"" or lklhgw=\""mg 52020\"""",""dk"":""lklhgw=\""mg 48020\"""",""ic"":""lklhgw=\""mg 58020\"""",""se"":""lklhgw=\""mg 54020\"""",""no"":""lklhgw=\""mg 52020\"""",""fi"":""lklhgw=\""mg 56020\"""",""bal"":""lklhgw=\""qa\"" or lklhgw=\""qb\"" or lklhgw=\""qc\"" or lklhgw=\""qd\"" or lklhgw=\""qe\"" or lklhgw=\""qh\"" or lklhgw=\""qg\"" or lklhgw=\""mg !!020\"""",""all"":""lklhgw=\""qa\"" or lklhgw=\""qb\"" or lklhgw=\""qc\"" or lklhgw=\""qd\"" or lklhgw=\""qe\"" or lklhgw=\""qh\"" or lklhgw=\""qg\"" or lklhgw=\""mg !!020\""""}"
331.1,331.1,331.X,331.X,TRUE,0,330.91 AND t0900,Zeitlich übergreifend,Temporally unspecific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
331.2,331.2,331.X,331.X,TRUE,0,330.91 AND t0902,Mittelalter,Middle Ages,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
331.3,331.3,331.X,331.X,TRUE,0,330.91 AND t0903,Frühe Neuzeit,Modern history,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
331.4,331.4,331.X,331.X,TRUE,0,330.91 AND t09034,19. Jahrhundert,19th century,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
331.5,331.5,331.X,331.X,TRUE,0,330.91 AND t0904,20. Jahrhundert,20th century,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
332,332,33X,33X,TRUE,0,331,"Arbeitsökonomie, Arbeitsmarkt","Labor economics, labor market",,,QV,,,,,,,,,QV,,,,QV,"lklhgw=""qv""",,,,,,,,,"lklhgw=""qv""",,,,"lklhgw=""qv""","{""nord"":""lklhgw=\""qv\"""",""bal"":""lklhgw=\""qv\"""",""all"":""lklhgw=\""qv\""""}"
337.*,337.X,33X,33X,TRUE,5,337,"Weltwirtschaft, Internationale Wirtschaftsbeziehungen","International economics, international economic relations",,,QM 000 OR QM 100 OR MK 5450 OR MK 6150 OR QG 000 OR QG 010,,,,,,,,,QM 000 OR QM 100 OR MK 5450 OR MK 6150 OR QG 000 OR QG 010,,,,QM 000 OR QM 100 OR MK 5450 OR MK 6150 OR QG 000 OR QG 010,"lklhgw=""qm 000"" or lklhgw=""qm 100"" or lklhgw=""mk 5450"" or lklhgw=""mk 6150"" or lklhgw=""qg 000"" or lklhgw=""qg 010""",,,,,,,,,"lklhgw=""qm 000"" or lklhgw=""qm 100"" or lklhgw=""mk 5450"" or lklhgw=""mk 6150"" or lklhgw=""qg 000"" or lklhgw=""qg 010""",,,,"lklhgw=""qm 000"" or lklhgw=""qm 100"" or lklhgw=""mk 5450"" or lklhgw=""mk 6150"" or lklhgw=""qg 000"" or lklhgw=""qg 010""","{""nord"":""lklhgw=\""qm 000\"" or lklhgw=\""qm 100\"" or lklhgw=\""mk 5450\"" or lklhgw=\""mk 6150\"" or lklhgw=\""qg 000\"" or lklhgw=\""qg 010\"""",""bal"":""lklhgw=\""qm 000\"" or lklhgw=\""qm 100\"" or lklhgw=\""mk 5450\"" or lklhgw=\""mk 6150\"" or lklhgw=\""qg 000\"" or lklhgw=\""qg 010\"""",""all"":""lklhgw=\""qm 000\"" or lklhgw=\""qm 100\"" or lklhgw=\""mk 5450\"" or lklhgw=\""mk 6150\"" or lklhgw=\""qg 000\"" or lklhgw=\""qg 010\""""}"
337.1,337.1,337.X,337.X,TRUE,0,337 AND t0900,Zeitlich übergreifend,Temporally unspecific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
337.2,337.2,337.X,337.X,TRUE,0,337 AND t0902,Mittelalter,Middle Ages,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
337.3,337.3,337.X,337.X,TRUE,0,337 AND t0903,Frühe Neuzeit,Modern history,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
337.4,337.4,337.X,337.X,TRUE,0,337 AND t09034,19. Jahrhundert,19th century,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
337.5,337.5,337.X,337.X,TRUE,0,337 AND t0904,20. Jahrhundert,20th century,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
338.*,338.X,33X,33X,TRUE,3,338,Produktion,Production,,,QR ,,,,,,,,,QR ,,,,QR ,"lklhgw=""qr """,,,,,,,,,"lklhgw=""qr """,,,,"lklhgw=""qr ""","{""nord"":""lklhgw=\""qr \"""",""bal"":""lklhgw=\""qr \"""",""all"":""lklhgw=\""qr \""""}"
338.1*,338.1X,338.X,338.X,TRUE,1,338.1,"Agrarwirtschaft, Fischerei, Forstwirtschaft","Agriculture, Fishery, Forestry",,Fischerei bei DDC 339.3 (QT 500),QS OR QT 400 OR ZE 1* OR ZE 2* OR ZE 3*,,,,,,,,,QS OR QT 400 OR ZE 1* OR ZE 2* OR ZE 3*,,,,QS OR QT 400 OR ZE 1* OR ZE 2* OR ZE 3*,"lklhgw=""qs"" or lklhgw=""qt 400"" or lklhgw=""ze 1?"" or lklhgw=""ze 2?"" or lklhgw=""ze 3?""",,,,,,,,,"lklhgw=""qs"" or lklhgw=""qt 400"" or lklhgw=""ze 1?"" or lklhgw=""ze 2?"" or lklhgw=""ze 3?""",,,,"lklhgw=""qs"" or lklhgw=""qt 400"" or lklhgw=""ze 1?"" or lklhgw=""ze 2?"" or lklhgw=""ze 3?""","{""nord"":""lklhgw=\""qs\"" or lklhgw=\""qt 400\"" or lklhgw=\""ze 1?\"" or lklhgw=\""ze 2?\"" or lklhgw=\""ze 3?\"""",""bal"":""lklhgw=\""qs\"" or lklhgw=\""qt 400\"" or lklhgw=\""ze 1?\"" or lklhgw=\""ze 2?\"" or lklhgw=\""ze 3?\"""",""all"":""lklhgw=\""qs\"" or lklhgw=\""qt 400\"" or lklhgw=\""ze 1?\"" or lklhgw=\""ze 2?\"" or lklhgw=\""ze 3?\""""}"
338.11,338.11,338.1X,338.1X,TRUE,0,338.109,Agrargeschichte,History of agriculture,,doppelt aufgeführt,NW 30* OR NW 78* OR NW 79* OR ZA 8* OR QS 100,ZA 8022* NOT ZA 80227,ZA 80223,,,,ZA 80226,ZA 80225,ZA 80227,NW 30* OR NW 78* OR NW 79* OR ZA 8* OR QS 100,,,,NW 30* OR NW 78* OR NW 79* OR ZA 8* OR QS 100,"lklhgw=""nw 30?"" or lklhgw=""nw 78?"" or lklhgw=""nw 79?"" or lklhgw=""za 8?"" or lklhgw=""qs 100""","lklhgw=""za 8022?"" not lklhgw=""za 80227""","lklhgw=""za 80223""",,,,"lklhgw=""za 80226""","lklhgw=""za 80225""","lklhgw=""za 80227""","lklhgw=""nw 30?"" or lklhgw=""nw 78?"" or lklhgw=""nw 79?"" or lklhgw=""za 8?"" or lklhgw=""qs 100""",,,,"lklhgw=""nw 30?"" or lklhgw=""nw 78?"" or lklhgw=""nw 79?"" or lklhgw=""za 8?"" or lklhgw=""qs 100""","{""nord"":""lklhgw=\""nw 30?\"" or lklhgw=\""nw 78?\"" or lklhgw=\""nw 79?\"" or lklhgw=\""za 8?\"" or lklhgw=\""qs 100\"""",""sca"":""lklhgw=\""za 8022?\"" not lklhgw=\""za 80227\"""",""dk"":""lklhgw=\""za 80223\"""",""se"":""lklhgw=\""za 80226\"""",""no"":""lklhgw=\""za 80225\"""",""fi"":""lklhgw=\""za 80227\"""",""bal"":""lklhgw=\""nw 30?\"" or lklhgw=\""nw 78?\"" or lklhgw=\""nw 79?\"" or lklhgw=\""za 8?\"" or lklhgw=\""qs 100\"""",""all"":""lklhgw=\""nw 30?\"" or lklhgw=\""nw 78?\"" or lklhgw=\""nw 79?\"" or lklhgw=\""za 8?\"" or lklhgw=\""qs 100\""""}"
338.6,338.6,338.X,338.X,TRUE,0,338.6,Produktionsorganisation (Betriebswirtschaftslehre),Organization of production,,"Kiel hat hier einzelne Gewerbesektoren!!! Abweichend von der DDC, unsere RVK dagegen zu 338.6",QP 500 OR QR 300 OR QC 133,,,,,,,,,QP 500 OR QR 300 OR QC 133,,,,QP 500 OR QR 300 OR QC 133,"lklhgw=""qp 500"" or lklhgw=""qr 300"" or lklhgw=""qc 133""",,,,,,,,,"lklhgw=""qp 500"" or lklhgw=""qr 300"" or lklhgw=""qc 133""",,,,"lklhgw=""qp 500"" or lklhgw=""qr 300"" or lklhgw=""qc 133""","{""nord"":""lklhgw=\""qp 500\"" or lklhgw=\""qr 300\"" or lklhgw=\""qc 133\"""",""bal"":""lklhgw=\""qp 500\"" or lklhgw=\""qr 300\"" or lklhgw=\""qc 133\"""",""all"":""lklhgw=\""qp 500\"" or lklhgw=\""qr 300\"" or lklhgw=\""qc 133\""""}"
338.9,338.9,338.X,338.X,TRUE,0,338.9,Industrialisierung und Entwicklungshilfe,Industrialization and development assistance,,"eigtl.Bezeichnung: Wirtschaftsentwicklung und Wirtschaftswachstum, hier gehört Wirtschaftspolitik rein (338.9)",QC 34* OR MK 9* OR QD 020,,,,,,,,,QC 34* OR MK 9* OR QD 020,,,,QC 34* OR MK 9* OR QD 020,"lklhgw=""qc 34?"" or lklhgw=""mk 9?"" or lklhgw=""qd 020""",,,,,,,,,"lklhgw=""qc 34?"" or lklhgw=""mk 9?"" or lklhgw=""qd 020""",,,,"lklhgw=""qc 34?"" or lklhgw=""mk 9?"" or lklhgw=""qd 020""","{""nord"":""lklhgw=\""qc 34?\"" or lklhgw=\""mk 9?\"" or lklhgw=\""qd 020\"""",""bal"":""lklhgw=\""qc 34?\"" or lklhgw=\""mk 9?\"" or lklhgw=\""qd 020\"""",""all"":""lklhgw=\""qc 34?\"" or lklhgw=\""mk 9?\"" or lklhgw=\""qd 020\""""}"
339,339,33X,33X,TRUE,0,33X,Sonstige Wirtschaftsfragen,Miscellaneous economic issues,,"hier 332,333,334, 335,336,339",QI ***-QL *** OR QN ***-QQ *** OR QT OR QW 300 OR QW 500 OR QY 000,,,,,,,,,QI ***-QL *** OR QN ***-QQ *** OR QT OR QW 300 OR QW 500 OR QY 000,,,,QI ***-QL *** OR QN ***-QQ *** OR QT OR QW 300 OR QW 500 OR QY 000,"lklhgw=""qi ?-ql ?"" or lklhgw=""qn ?-qq ?"" or lklhgw=""qt"" or lklhgw=""qw 300"" or lklhgw=""qw 500"" or lklhgw=""qy 000""",,,,,,,,,"lklhgw=""qi ?-ql ?"" or lklhgw=""qn ?-qq ?"" or lklhgw=""qt"" or lklhgw=""qw 300"" or lklhgw=""qw 500"" or lklhgw=""qy 000""",,,,"lklhgw=""qi ?-ql ?"" or lklhgw=""qn ?-qq ?"" or lklhgw=""qt"" or lklhgw=""qw 300"" or lklhgw=""qw 500"" or lklhgw=""qy 000""","{""nord"":""lklhgw=\""qi ?-ql ?\"" or lklhgw=\""qn ?-qq ?\"" or lklhgw=\""qt\"" or lklhgw=\""qw 300\"" or lklhgw=\""qw 500\"" or lklhgw=\""qy 000\"""",""bal"":""lklhgw=\""qi ?-ql ?\"" or lklhgw=\""qn ?-qq ?\"" or lklhgw=\""qt\"" or lklhgw=\""qw 300\"" or lklhgw=\""qw 500\"" or lklhgw=\""qy 000\"""",""all"":""lklhgw=\""qi ?-ql ?\"" or lklhgw=\""qn ?-qq ?\"" or lklhgw=\""qt\"" or lklhgw=\""qw 300\"" or lklhgw=\""qw 500\"" or lklhgw=\""qy 000\""""}"
34*,34X,3XX,3XX,TRUE,5,34*,Recht,Law,,,P OR MG 598* OR DR OR NT,,,,,,,,,P OR MG 598* OR DR OR NT,,,,P OR MG 598* OR DR OR NT,"lklhgw=""p"" or lklhgw=""mg 598?"" or lklhgw=""dr"" or lklhgw=""nt""",,,,,,,,,"lklhgw=""p"" or lklhgw=""mg 598?"" or lklhgw=""dr"" or lklhgw=""nt""",,,,"lklhgw=""p"" or lklhgw=""mg 598?"" or lklhgw=""dr"" or lklhgw=""nt""","{""nord"":""lklhgw=\""p\"" or lklhgw=\""mg 598?\"" or lklhgw=\""dr\"" or lklhgw=\""nt\"""",""bal"":""lklhgw=\""p\"" or lklhgw=\""mg 598?\"" or lklhgw=\""dr\"" or lklhgw=\""nt\"""",""all"":""lklhgw=\""p\"" or lklhgw=\""mg 598?\"" or lklhgw=\""dr\"" or lklhgw=\""nt\""""}"
340,340,34X,34X,TRUE,0,340.A,Allgemeines,General works,,"hier auch DDC 348, 349",PA OR PC OR PI OR PK OR PX OR PO,,PC 1591,,,,PC 1596,,,PA OR PC OR PI OR PK OR PX OR PO,,,,PA OR PC OR PI OR PK OR PX OR PO,"lklhgw=""pa"" or lklhgw=""pc"" or lklhgw=""pi"" or lklhgw=""pk"" or lklhgw=""px"" or lklhgw=""po""",,"lklhgw=""pc 1591""",,,,"lklhgw=""pc 1596""",,,"lklhgw=""pa"" or lklhgw=""pc"" or lklhgw=""pi"" or lklhgw=""pk"" or lklhgw=""px"" or lklhgw=""po""",,,,"lklhgw=""pa"" or lklhgw=""pc"" or lklhgw=""pi"" or lklhgw=""pk"" or lklhgw=""px"" or lklhgw=""po""","{""nord"":""lklhgw=\""pa\"" or lklhgw=\""pc\"" or lklhgw=\""pi\"" or lklhgw=\""pk\"" or lklhgw=\""px\"" or lklhgw=\""po\"""",""dk"":""lklhgw=\""pc 1591\"""",""se"":""lklhgw=\""pc 1596\"""",""bal"":""lklhgw=\""pa\"" or lklhgw=\""pc\"" or lklhgw=\""pi\"" or lklhgw=\""pk\"" or lklhgw=\""px\"" or lklhgw=\""po\"""",""all"":""lklhgw=\""pa\"" or lklhgw=\""pc\"" or lklhgw=\""pi\"" or lklhgw=\""pk\"" or lklhgw=\""px\"" or lklhgw=\""po\""""}"
341,341,34X,34X,TRUE,0,340.5,Rechtsgeschichte,Legal history,,doppelt aufgeführt,NT OR PW,,PW 9220 OR PW 3880 ,,,,PW 9210,,,NT OR PW,,,,NT OR PW,"lklhgw=""nt"" or lklhgw=""pw""",,"lklhgw=""pw 9220"" or lklhgw=""pw 3880 """,,,,"lklhgw=""pw 9210""",,,"lklhgw=""nt"" or lklhgw=""pw""",,,,"lklhgw=""nt"" or lklhgw=""pw""","{""nord"":""lklhgw=\""nt\"" or lklhgw=\""pw\"""",""dk"":""lklhgw=\""pw 9220\"" or lklhgw=\""pw 3880 \"""",""se"":""lklhgw=\""pw 9210\"""",""bal"":""lklhgw=\""nt\"" or lklhgw=\""pw\"""",""all"":""lklhgw=\""nt\"" or lklhgw=\""pw\""""}"
342,342,34X,34X,TRUE,0,341,Völkerrecht,Law of nations,,,PR OR PS,,,,,,,,,PR OR PS,,,,PR OR PS,"lklhgw=""pr"" or lklhgw=""ps""",,,,,,,,,"lklhgw=""pr"" or lklhgw=""ps""",,,,"lklhgw=""pr"" or lklhgw=""ps""","{""nord"":""lklhgw=\""pr\"" or lklhgw=\""ps\"""",""bal"":""lklhgw=\""pr\"" or lklhgw=\""ps\"""",""all"":""lklhgw=\""pr\"" or lklhgw=\""ps\""""}"
343,343,34X,34X,TRUE,0,342 OR 344,"Verfassungs- und Verwaltungs-, Arbeits-, Sozial-, und Bildungsrecht","Constitutional and administrative law, labour, social service, education law ",,,MG !!8* OR PF OR PQ OR PL OR PN OR PM OR PZ 4* OR PZ 5* OR DR,MG !!8* NOT MG 56*,MG 488*,MG 588*,,,MG 548*,MG 528*,MG 568*,MG 598* OR PF OR PQ OR PL OR PN OR PM OR PZ 4* OR PZ 5* OR DR,,,,MG !!8* OR PF OR PQ OR PL OR PN OR PM OR PZ 4* OR PZ 5* OR DR,"lklhgw=""mg !!8?"" or lklhgw=""pf"" or lklhgw=""pq"" or lklhgw=""pl"" or lklhgw=""pn"" or lklhgw=""pm"" or lklhgw=""pz 4?"" or lklhgw=""pz 5?"" or lklhgw=""dr""","lklhgw=""mg !!8?"" not lklhgw=""mg 56?""","lklhgw=""mg 488?""","lklhgw=""mg 588?""",,,"lklhgw=""mg 548?""","lklhgw=""mg 528?""","lklhgw=""mg 568?""","lklhgw=""mg 598?"" or lklhgw=""pf"" or lklhgw=""pq"" or lklhgw=""pl"" or lklhgw=""pn"" or lklhgw=""pm"" or lklhgw=""pz 4?"" or lklhgw=""pz 5?"" or lklhgw=""dr""",,,,"lklhgw=""mg !!8?"" or lklhgw=""pf"" or lklhgw=""pq"" or lklhgw=""pl"" or lklhgw=""pn"" or lklhgw=""pm"" or lklhgw=""pz 4?"" or lklhgw=""pz 5?"" or lklhgw=""dr""","{""nord"":""lklhgw=\""mg !!8?\"" or lklhgw=\""pf\"" or lklhgw=\""pq\"" or lklhgw=\""pl\"" or lklhgw=\""pn\"" or lklhgw=\""pm\"" or lklhgw=\""pz 4?\"" or lklhgw=\""pz 5?\"" or lklhgw=\""dr\"""",""sca"":""lklhgw=\""mg !!8?\"" not lklhgw=\""mg 56?\"""",""dk"":""lklhgw=\""mg 488?\"""",""ic"":""lklhgw=\""mg 588?\"""",""se"":""lklhgw=\""mg 548?\"""",""no"":""lklhgw=\""mg 528?\"""",""fi"":""lklhgw=\""mg 568?\"""",""bal"":""lklhgw=\""mg 598?\"" or lklhgw=\""pf\"" or lklhgw=\""pq\"" or lklhgw=\""pl\"" or lklhgw=\""pn\"" or lklhgw=\""pm\"" or lklhgw=\""pz 4?\"" or lklhgw=\""pz 5?\"" or lklhgw=\""dr\"""",""all"":""lklhgw=\""mg !!8?\"" or lklhgw=\""pf\"" or lklhgw=\""pq\"" or lklhgw=\""pl\"" or lklhgw=\""pn\"" or lklhgw=\""pm\"" or lklhgw=\""pz 4?\"" or lklhgw=\""pz 5?\"" or lklhgw=\""dr\""""}"
345,345,34X,34X,TRUE,0,34X,Sonstige Rechtsgebiete,Miscellaneous branches of law,,"hier auch DDC 343, 346, 347",PE OR PG OR PH OR PP OR PU OR PT OR PZ 1* OR PZ 2* OR PZ 3*,,PH 618* OR PP 6320 OR PU 4030,PH 622* OR PP 6350 OR PU 4050,,,PU 4010 OR PH 620* OR PP 6410,PH 619* OR PP 6380 OR PU 4020,PH 621* OR PP 6440 OR PU 4040,PE OR PG OR PH OR PP OR PU OR PT OR PZ 1* OR PZ 2* OR PZ 3*,,,,PE OR PG OR PH OR PP OR PU OR PT OR PZ 1* OR PZ 2* OR PZ 3*,"lklhgw=""pe"" or lklhgw=""pg"" or lklhgw=""ph"" or lklhgw=""pp"" or lklhgw=""pu"" or lklhgw=""pt"" or lklhgw=""pz 1?"" or lklhgw=""pz 2?"" or lklhgw=""pz 3?""",,"lklhgw=""ph 618?"" or lklhgw=""pp 6320"" or lklhgw=""pu 4030""","lklhgw=""ph 622?"" or lklhgw=""pp 6350"" or lklhgw=""pu 4050""",,,"lklhgw=""pu 4010"" or lklhgw=""ph 620?"" or lklhgw=""pp 6410""","lklhgw=""ph 619?"" or lklhgw=""pp 6380"" or lklhgw=""pu 4020""","lklhgw=""ph 621?"" or lklhgw=""pp 6440"" or lklhgw=""pu 4040""","lklhgw=""pe"" or lklhgw=""pg"" or lklhgw=""ph"" or lklhgw=""pp"" or lklhgw=""pu"" or lklhgw=""pt"" or lklhgw=""pz 1?"" or lklhgw=""pz 2?"" or lklhgw=""pz 3?""",,,,"lklhgw=""pe"" or lklhgw=""pg"" or lklhgw=""ph"" or lklhgw=""pp"" or lklhgw=""pu"" or lklhgw=""pt"" or lklhgw=""pz 1?"" or lklhgw=""pz 2?"" or lklhgw=""pz 3?""","{""nord"":""lklhgw=\""pe\"" or lklhgw=\""pg\"" or lklhgw=\""ph\"" or lklhgw=\""pp\"" or lklhgw=\""pu\"" or lklhgw=\""pt\"" or lklhgw=\""pz 1?\"" or lklhgw=\""pz 2?\"" or lklhgw=\""pz 3?\"""",""dk"":""lklhgw=\""ph 618?\"" or lklhgw=\""pp 6320\"" or lklhgw=\""pu 4030\"""",""ic"":""lklhgw=\""ph 622?\"" or lklhgw=\""pp 6350\"" or lklhgw=\""pu 4050\"""",""se"":""lklhgw=\""pu 4010\"" or lklhgw=\""ph 620?\"" or lklhgw=\""pp 6410\"""",""no"":""lklhgw=\""ph 619?\"" or lklhgw=\""pp 6380\"" or lklhgw=\""pu 4020\"""",""fi"":""lklhgw=\""ph 621?\"" or lklhgw=\""pp 6440\"" or lklhgw=\""pu 4040\"""",""bal"":""lklhgw=\""pe\"" or lklhgw=\""pg\"" or lklhgw=\""ph\"" or lklhgw=\""pp\"" or lklhgw=\""pu\"" or lklhgw=\""pt\"" or lklhgw=\""pz 1?\"" or lklhgw=\""pz 2?\"" or lklhgw=\""pz 3?\"""",""all"":""lklhgw=\""pe\"" or lklhgw=\""pg\"" or lklhgw=\""ph\"" or lklhgw=\""pp\"" or lklhgw=\""pu\"" or lklhgw=\""pt\"" or lklhgw=\""pz 1?\"" or lklhgw=\""pz 2?\"" or lklhgw=\""pz 3?\""""}"
35*,35X,3XX,3XX,TRUE,3,35*,"Öffentliche Verwaltung, Militär",Public administration and military science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
